customer_code,customer,market,platform,channel
70002017,Sporty Essentials,India,Brick & Mortar,Retailer
70002018,PlayMore Sports,India,Brick & Mortar,Retailer
90002001,SportsHub,,E-Commerce,Retailer
90002002,PowerPlay Sports,India,Brick & Mortar,Retailer
90002003,Winning Gear,India,Brick & Mortar,Retailer
90002004,Atlikon Sports India,India,Brick & Mortar,Direct
90002005,Atlikon Official,India,E-Commerce,Direct
90002006,Atlikon Essentials,India,Brick & Mortar,Direct
90002007,SportsMart,India,Brick & Mortar,Retailer
90002008,FitnessWorld,India,E-Commerce,Retailer
90002009,FastTrack Sports,India,Brick & Mortar,Retailer
90002010,Athletic Supplies,India,E-Commerce,Retailer
90002011,Prime Sports,India,Brick & Mortar,Retailer
90002012,Ultimate Sports,India,E-Commerce,Retailer
90002013,Active Gear,India,E-Commerce,Retailer
90002014,Atlikon Superstore,India,Brick & Mortar,Direct
90002015,Active Sport Shop,India,Brick & Mortar,Retailer
90002016,Fitness Mania,India,Brick & Mortar,Retailer
90002017,Al Wahda Sports,UAE,Brick & Mortar,Retailer
90002018,Desert Sports Hub,UAE,E-Commerce,Retailer
90002019,Emirates Fitness,UAE,Brick & Mortar,Retailer
90002020,Gulf Play Zone,UAE,Brick & Mortar,Retailer
90002021,Dubai Sports World,UAE,E-Commerce,Retailer
90002022,Abu Dhabi Athletics,UAE,Brick & Mortar,Retailer
90002023,Falcon Sports,UAE,Brick & Mortar,Retailer
90002024,Dune Sports Co,UAE,Brick & Mortar,Retailer
90002025,Al Ain Sports,UAE,E-Commerce,Retailer
90002026,Arabian Sports Direct,UAE,E-Commerce,Direct
90002027,Lahore Sports Arena,Pakistan,Brick & Mortar,Retailer
90002028,Karachi Play Hub,Pakistan,E-Commerce,Direct
90002029,Islamabad Fitness Co,Pakistan,E-Commerce,Retailer
90002030,Punjab Sports,Pakistan,Brick & Mortar,Direct
90002031,Peshawar Athletic,Pakistan,Brick & Mortar,Retailer
90002032,Sindh Sports Store,Pakistan,E-Commerce,Retailer
90002033,Multan Sports Club,Pakistan,E-Commerce,Direct
90002034,Rawalpindi Gear,Pakistan,E-Commerce,Retailer
90002035,Faisalabad Sports,Pakistan,E-Commerce,Retailer
90002036,Quetta Athletics,Pakistan,E-Commerce,Retailer
90002037,Dhaka Sports Hub,Bangladesh,E-Commerce,Direct
90002038,Chittagong Athletic,Bangladesh,Brick & Mortar,Retailer
90002039,Sylhet Play Zone,Bangladesh,Brick & Mortar,Retailer
90002040,Rajshahi Sports,Bangladesh,E-Commerce,Retailer
90002041,Khulna Fitness Co,Bangladesh,Brick & Mortar,Retailer
90002042,Comilla Sports,Bangladesh,E-Commerce,Direct
90002043,Mymensingh Gear,Bangladesh,E-Commerce,Direct
90002044,Rangpur Athletics,Bangladesh,Brick & Mortar,Direct
90002045,Barishal Sports Club,Bangladesh,E-Commerce,Retailer
90002046,Narayanganj Play,Bangladesh,E-Commerce,Retailer
90002047,Colombo Sports Hub,,Brick & Mortar,Retailer
90002048,Kandy Athletics,Sri Lanka,Brick & Mortar,Direct
90002049,Galle Sports Zone,Sri Lanka,E-Commerce,Direct
90002050,Jaffna Play Co,Sri Lanka,Brick & Mortar,Direct
90002051,Negombo Fitness,Sri Lanka,Brick & Mortar,Retailer
90002052,Matara Sports Club,Sri Lanka,Brick & Mortar,Direct
90002053,Kurunegala Gear,Sri Lanka,E-Commerce,Direct
90002054,Trincomalee Sports,Sri Lanka,Brick & Mortar,RETAILER
90002055,Anuradhapura Play,Sri Lanka,E-Commerce,Retailer
90002056,Batticaloa Athletics,Sri Lanka,E-Commerce,Direct
90002045,Barishal Sports Club,Bangladesh,E-Commerce,Retailer
